Sample_Name,NODE_ID,family-supergroup,Country,Site,Collection_MY,Collection_Y,Season,Mosq_Species_Name,Mapped_Reads,Total_Reads_in_Lib,Non_rRNA_Reads,RPM,Virus_name_fin_cut,Virus_name_final
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-aegypti-3_S7,NODE_7_length_6815_cov_284.155295,Phenuiviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes aegypti,28386,4970562,4806045,5906.31,Phasivirus phasiense,Phasivirus phasiense  isolate CAR6
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-aegypti-3_S7,NODE_6_length_6841_cov_118.787825,Flaviviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes aegypti,19102,4970562,4806045,3974.58,Cell fusing agent virus,Cell fusing agent virus  isolate CAR5
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-aegypti-3_S7,NODE_5_length_7062_cov_6.492059,Metaviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes aegypti,830,4970562,4806045,172.7,Bayanga meta-like virus 4,Bayanga meta-like virus 4  isolate CAR4
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-aegypti-3_S7,NODE_65_length_4273_cov_1.710952,Metaviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes aegypti,209,4970562,4806045,43.49,Bayanga meta-like virus 2,Bayanga meta-like virus 2  isolate CAR2
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-aegypti-3_S7,NODE_57_length_4372_cov_1.814143,Metaviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes aegypti,198,4970562,4806045,41.2,Bayanga meta-like virus 1,Bayanga meta-like virus 1  isolate CAR1
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-aegypti-3_S7,NODE_1031_length_1424_cov_3.510733,Metaviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes aegypti,199,4970562,4806045,41.4,Bayanga meta-like virus 3,Bayanga meta-like virus 3  isolate CAR3
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-aegypti-3_S7,NODE_1858_length_1124_cov_1.600381,Flaviviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes aegypti,39,4970562,4806045,8.11,Zika virus,Zika virus  isolate CAR7
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-albopictus-1_S8,NODE_13_length_5669_cov_4.548070,Metaviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes albopictus,594,4936549,4749465,125.07,Bayanga meta-like virus 7,Bayanga meta-like virus 7  isolate CAR12
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-albopictus-1_S8,NODE_509_length_1916_cov_0.975583,Metaviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes albopictus,49,4936549,4749465,10.32,Bayanga meta-like virus 5,Bayanga meta-like virus 5  isolate CAR10
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-albopictus-1_S8,NODE_446_length_2012_cov_1.660134,Metaviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes albopictus,62,4936549,4749465,13.05,Bayanga meta-like virus 10,Bayanga meta-like virus 10  isolate CAR8
H2KK5AFX2_Bangui-Bayanga-Nov-2019-Aedes-albopictus-1_S8,NODE_2104_length_1138_cov_2.004695,Flaviviridae,Central African Republic,Bayanga,Nov-19,2019,Rainy,Aedes albopictus,43,4936549,4749465,09.05,Zika virus,Zika virus  isolate CAR15
