Sample_Name,NODE_ID,family.supergroup,Country,Site,Collection_MY,Collection_Y,Season,Mosq_Species_Name,Mapped_Reads,Total_Reads_in_Lib,Non_rRNA_Reads,RPM,Virus_name_fin_cut,Virus_name_final
H2LTKAFX2_Bangui-Batalimo-Oct-2019-Aedes-aegypti-3_S10,NODE_24_length_6087_cov_142.314100,Inseviridae,Central African Republic,Batalimo,Oct-19,2019,Rainy,Aedes aegypti,40737,5679017,5210994,7817.51,Batalimo inse-like virus 2 ,Batalimo inse-like virus 2  isolate CAR85
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-1_S55,NODE_373_length_1919_cov_15180.633803,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,380885,6548920,6130009,62134.49,Batalimo inse-like virus 2 ,Batalimo inse-like virus 2  isolate CAR1143
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-2_S56,NODE_129_length_1935_cov_20843.932868,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,531212,5312769,5102290,104112.47,Batalimo inse-like virus 2 ,Batalimo inse-like virus 2  isolate CAR1148
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-1_S55,NODE_17_length_6204_cov_8544.095254,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,715708,6548920,6130009,116754.8,Batalimo inse-like virus 3 ,Batalimo inse-like virus 3  isolate CAR1144
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-2_S56,NODE_9_length_6201_cov_15032.688969,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,1252710,5312769,5102290,245519.17,Batalimo inse-like virus 3 ,Batalimo inse-like virus 3  isolate CAR1149
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-3_S57,NODE_12_length_6187_cov_5092.628230,Inseviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,432457,5852245,5455230,79273.83,Batalimo inse-like virus 3 ,Batalimo inse-like virus 3  isolate CAR1151
H2LTKAFX2_Bangui-Batalimo-Oct-2019-Aedes-aegypti-1_S8,NODE_630_length_1929_cov_4.122306,Metaviridae,Central African Republic,Batalimo,Oct-19,2019,Rainy,Aedes aegypti,141,6374853,3824979,36.86,Batalimo meta-like virus 1 ,Batalimo meta-like virus 1  isolate CAR78
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-1_S55,NODE_1031_length_1368_cov_9.255598,Metaviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,190,6548920,6130009,31,Batalimo meta-like virus 1 ,Batalimo meta-like virus 1  isolate CAR1145
HVLJHBGXH_Bangui-Batalimo-July-2020-Rainy-Aedes-aegypti-3_S57,NODE_175_length_2473_cov_4.481667,Metaviridae,Central African Republic,Batalimo,Jul-20,2020,Rainy,Aedes aegypti,193,5852245,5455230,35.38,Batalimo meta-like virus 1 ,Batalimo meta-like virus 1  isolate CAR1152
H2LTKAFX2_Bangui-Batalimo-Oct-2019-Aedes-aegypti-1_S8,NODE_848_length_1695_cov_2.733662,Metaviridae,Central African Republic,Batalimo,Oct-19,2019,Rainy,Aedes aegypti,209,6374853,3824979,54.64,Batalimo meta-like virus 2 ,Batalimo meta-like virus 2  isolate CAR79
H2LTKAFX2_Bangui-Batalimo-Oct-2019-Aedes-aegypti-3_S10,NODE_95_length_3884_cov_3.168197,Metaviridae,Central African Republic,Batalimo,Oct-19,2019,Rainy,Aedes aegypti,555,5679017,5210994,106.51,Batalimo meta-like virus 2 ,Batalimo meta-like virus 2  isolate CAR86
